parser_family,source_pdf,page_start,page_end,section,entry_number,entry_type,authors,year,title,publication_block,commentary,reviews,confidence,segment_warning,raw_text,raw_text_original
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,LEXICA AND COLLECTIONS,11,edited_volume,Carl Deroux,1997,Studies in Latin Literature and Roman History. Vili,Bruxelles 1997; Studies in Latin Literature and Roman History. IX. Bruxelles 1998. [DEROUX 1997; DEROUX 1998],,,0.85,publication_tail_city_fallback,"Carl Deroux, ed. Studies in Latin Literature and Roman History. Vili. Bruxelles 1997; Studies in Latin Literature and Roman History. IX. Bruxelles 1998. [DEROUX 1997; DEROUX 1998]","Carl Deroux, ed. Studies in Latin Literature and Roman
History. Vili. Bruxelles 1997; Studies in Latin Literature and
Roman History. IX. Bruxelles 1998. [DEROUX 1997;
DEROUX 1998]"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,LEXICA AND COLLECTIONS,12,edited_volume,Nicholas Horsfall,1995,A Companion to the Study of Virgil,"New York, Cologne, 1995",,"Greuning, AAHG 51 (1998) 44-47",0.85,publication_tail_city_fallback,"Nicholas Horsfall, ed. A Companion to the Study of Virgil. New York, Cologne, 1995. Rev: Greuning, AAHG 51 (1998) 44-47.","Nicholas Horsfall, ed. A Companion to the Study of Virgil. New
York, Cologne, 1995. Rev: Greuning, AAHG 51 (1998) 44-47."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,LEXICA AND COLLECTIONS,13,edited_volume,Peter Knox | Clive Foss,1998,Style and Tradition: Studies in Honor of Wendell Clausen,"Stuttgart & Leipzig, 1998",,"Gale, G&R 44 (1999) 88",0.85,publication_tail_city_fallback,"Peter Knox and Clive Foss, eds. Style and Tradition: Studies in Honor of Wendell Clausen. Stuttgart & Leipzig, 1998. Rev: Gale, G&R 44 (1999) 88.","Peter Knox and Clive Foss, eds. Style and Tradition: Studies in
Honor of Wendell Clausen. Stuttgart & Leipzig, 1998. Rev:
Gale, G&R 44 (1999) 88."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,4,LEXICA AND COLLECTIONS,14,edited_volume,Charles Martindale,1997,The Cambridge Companion to Virgil,Cambridge 1997,,"Anderson, Vergilius 44 (1998) 1 10-1 13; Gale, G&R 45 (1998) 241 . Vergilian Bibliography 1998-1999 79",1.0,,"Charles Martindale, ed. The Cambridge Companion to Virgil. Cambridge 1997. Rev: Anderson, Vergilius 44 (1998) 1 10-1 13; Gale, G&R 45 (1998) 241 . Vergilian Bibliography 1998-1999 79","Charles Martindale, ed. The Cambridge Companion to Virgil.
Cambridge 1997. Rev: Anderson, Vergilius 44 (1998)
1 10-1 13; Gale, G&R 45 (1998) 241 .
Vergilian Bibliography 1998-1999 79"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,LEXICA AND COLLECTIONS,15,edited_volume,Christine Perkell,1999,"Reading Vergil's ""Aeneid"": A Interpretive Guide. Norman, Oklahoma",1999. [PERKELL],,,0.85,publication_tail_year_fallback,"Christine Perkell, ed. Reading Vergil's ""Aeneid"": A Interpretive Guide. Norman, Oklahoma 1999. [PERKELL]","Christine Perkell, ed. Reading Vergil's ""Aeneid"": A
Interpretive Guide. Norman, Oklahoma 1999. [PERKELL]"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,LEXICA AND COLLECTIONS,16,edited_volume,Stephanie Quinn,1999,"Why Vergil? A Collection of Interpretations. Wauconda, IL",1999,,,0.85,publication_tail_year_fallback,"Stephanie Quinn, ed. Why Vergil? A Collection of Interpretations. Wauconda, IL. 1999.","Stephanie Quinn, ed. Why Vergil? A Collection of
Interpretations. Wauconda, IL. 1999."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,LEXICA AND COLLECTIONS,17,edited_volume,H. Rosen,1996,Aspects of Latin,Innsbruck 1996,,"Wenskur, AAHG 51 (1998) 32-39. [ROSEN]",1.0,,"H. Rosen, ed. Aspects of Latin. Innsbruck 1996. Rev: Wenskur, AAHG 51 (1998) 32-39. [ROSEN]","H. Rosen, ed. Aspects of Latin. Innsbruck 1996. Rev: Wenskur,
AAHG 51 (1998) 32-39. [ROSEN]"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,LEXICA AND COLLECTIONS,18,edited_volume,Hans-Peter Stahl,1998,Vergil's Aeneid: Augustan Epic and Political Context,London 1998,,"Farrell, Vergilius 44 (1998) 1 15-125; Gale, G&R 46 (1999) 85",1.0,,"Hans-Peter Stahl, ed. Vergil's Aeneid: Augustan Epic and Political Context. London 1998. Rev: Farrell, Vergilius 44 (1998) 1 15-125; Gale, G&R 46 (1999) 85.","Hans-Peter Stahl, ed. Vergil's Aeneid: Augustan Epic and
Political Context. London 1998. Rev: Farrell, Vergilius 44
(1998) 1 15-125; Gale, G&R 46 (1999) 85."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,LEXICA AND COLLECTIONS,19,edited_volume,Ibolya Tar,1998,Epic durch die Jahrhunderte. Internationale Konferenz Szeged 2-4 Oktober 1997. Szeged,1998. [TAR],,,0.85,publication_tail_year_fallback,"Ibolya Tar, ed. Epic durch die Jahrhunderte. Internationale Konferenz Szeged 2-4 Oktober 1997. Szeged 1998. [TAR]","Ibolya Tar, ed. Epic durch die Jahrhunderte. Internationale
Konferenz Szeged 2-4 Oktober 1997. Szeged 1998. [TAR]"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,TRANSLATIONS,20,journal_article,William S. Anderson,,Five Hundred Years of Rendering the Aeneid in English,"In PERKELL 285-302, 335-336",,,0.75,,"William S. Anderson. ""Five Hundred Years of Rendering the Aeneid in English,"" In PERKELL 285-302, 335-336.","William S. Anderson. ""Five Hundred Years of Rendering the
Aeneid in English,"" In PERKELL 285-302, 335-336."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,TRANSLATIONS,21,journal_article,D. Ferry,1998,Eclogue II,Arion 6 (1998) 32-34,,,1.0,,"D. Ferry. ""Eclogue II,"" Arion 6 (1998) 32-34.","D. Ferry. ""Eclogue II,"" Arion 6 (1998) 32-34."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,TRANSLATIONS,22,journal_article,David Ferry,1999,Vergil: Fifth Eclogue,Literary Imagination 1 (1999) 25-28,,,1.0,,"David Ferry. ""Vergil: Fifth Eclogue,"" Literary Imagination 1 (1999) 25-28.","David Ferry. ""Vergil: Fifth Eclogue,"" Literary Imagination 1
(1999) 25-28."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,TRANSLATIONS,23,monograph,Sergio López Mena,1995,"Publio Virgilio Marón, Geórgica primera. Traducción literal de Joaquín Arcádio Pagaza",Mexico City 1995,,"Navaro Antolin, Latomus 57 (1998) 710-71 1",1.0,,"Sergio López Mena. Publio Virgilio Marón, Geórgica primera. Traducción literal de Joaquín Arcádio Pagaza. Mexico City 1995. Rev: Navaro Antolin, Latomus 57 (1998) 710-71 1.","Sergio López Mena. Publio Virgilio Marón, Geórgica primera.
Traducción literal de Joaquín Arcádio Pagaza. Mexico City
1995. Rev: Navaro Antolin, Latomus 57 (1998) 710-71 1."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,TRANSLATIONS,24,journal_article,C. H. Sisson,1998,Virgil's Aeneid. [Everyman],London 1998,,"Potter, JACTReview 25 (1999) 33. Anderson reviews translations from Douglas (1513) to Fitzgerald (1981) drawing on Aeneid 1 1 for examples under the rubrics ""Formal Considerations"" and ""Cultural Clashes."" ""Camilla the womanwarrior-queen has so far defied the efforts of the exclusively male translators."" (302)",0.85,publication_tail_city_fallback,"C. H. Sisson. Virgil's Aeneid. [Everyman] London 1998. Rev: Potter, JACTReview 25 (1999) 33. Anderson reviews translations from Douglas (1513) to Fitzgerald (1981) drawing on Aeneid 1 1 for examples under the rubrics ""Formal Considerations"" and ""Cultural Clashes."" ""Camilla the womanwarrior-queen has so far defied the efforts of the exclusively male translators."" (302)","C. H. Sisson. Virgil's Aeneid. [Everyman] London 1998. Rev:
Potter, JACTReview 25 (1999) 33.
Anderson reviews translations from Douglas (1513) to Fitzgerald
(1981) drawing on Aeneid 1 1 for examples under the rubrics ""Formal
Considerations"" and ""Cultural Clashes."" ""Camilla the woman-
warrior-queen has so far defied the efforts of the exclusively male
translators."" (302)"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,4,WORLD WIDE WEB & CD ROM,25,monograph,AA.VV,1993,Accessing Antiquity: The Computerization of Classical Studies. Tucson,1993,,"Kinsella, CW 90 (1997) 380-381",0.85,publication_tail_year_fallback,"AA.VV. Accessing Antiquity: The Computerization of Classical Studies. Tucson 1993. Rev: Kinsella, CW 90 (1997) 380-381.","AA.VV. Accessing Antiquity: The Computerization of Classical
Studies. Tucson 1993. Rev: Kinsella, CW 90 (1997) 380-381."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,4,5,WORLD WIDE WEB & CD ROM,26,journal_article,Henry V. Bender,1997,A Survey of Audio-Visual Material in the Classics,"CW 91 (1997-1998) 127-184. Vergil appears s.v. Computer Software: 171-172, 179-180. 80 Alexander G. McKay",,,1.0,,"Henry V. Bender. ""A Survey of Audio-Visual Material in the Classics."" CW 91 (1997-1998) 127-184. Vergil appears s.v. Computer Software: 171-172, 179-180. 80 Alexander G. McKay","Henry V. Bender. ""A Survey of Audio-Visual Material in the
Classics."" CW 91 (1997-1998) 127-184. Vergil appears s.v.
Computer Software: 171-172, 179-180.
80 Alexander G. McKay"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,5,5,WORLD WIDE WEB & CD ROM,27,journal_article,L. Carson,1998,CD-ROM technology and L 'A,CW 91 (1998)553-564,,,0.85,unclosed_quote_title,"L. Carson. ""CD-ROM technology and L 'A CW 91 (1998)553-564.","L. Carson. ""CD-ROM technology and L 'A
CW 91 (1998)553-564."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,5,5,WORLD WIDE WEB & CD ROM,28,unknown,"Gregory Crane, editor-in-chief",,"The P Evolving Digital Library, http://www.perseu",,,,0.65,,"Gregory Crane, editor-in-chief. The P Evolving Digital Library, http://www.perseu","Gregory Crane, editor-in-chief. The P
Evolving Digital Library, http://www.perseu"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,5,5,WORLD WIDE WEB & CD ROM,29,unknown,"Joseph Farrell, director",,The Vergil Project http://vergil.classics.upenn.edu,,,,0.65,,"Joseph Farrell, director. The Vergil Project http://vergil.classics.upenn.edu","Joseph Farrell, director. The Vergil Project
http://vergil.classics.upenn.edu"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,5,5,WORLD WIDE WEB & CD ROM,30,journal_article,Joseph Farrell,1999,,Vergil Project: A (1999)58-61,,,0.5,unclosed_quote_title,"Joseph Farrell. ""The Vergil Project: A (1999)58-61.","Joseph Farrell. ""The Vergil Project: A
(1999)58-61."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,5,6,WORLD WIDE WEB & CD ROM,31,edited_volume,David Wilson-Okamura,1999,"virgil.org. http://virgil.org The Perseus Project provides Vergil's Eclogues, Georgics, and Aeneid in English and Latin and the Aeneid commentaries of Servius (Latin only) and Conington-Nettleship-Haverfield. Latin texts can be displayed without links to the Morpheus forms analyser, and in the case of the epic, to the commentaries as well, English texts with links to the Perseus look-up tool. The Vergil Project is officially under construction until Fall 2000, but it is functional already. It offers (1) on-line tools for disambiguation of grammar, analysis of syntax, translation, and entry of discursive commentary for individual words, phrases, or longer sections of text. Access to these tools is available upon request to qualified collaborators working individually or in groups; (2) Text and Commentary. The site currently offers a Latin text of the Aeneid based on the editions of Mynors and Geymonat, grammatical and syntactical analysis, and glossary of Aeneid 1-2; and a concordance. By December 1999 these resources will have been supplemented with grammatical and syntactical analysis and glossary of Aeneid 4 and 6, and discursive commentary on books 1, 2, 4, and 6. Virgil.org maintains a web site devoted to Vergil and Vergiliana. It is the home of ""Mantovano"", a threaded discussion list devoted to ""the works attributed to Publius Vergilius Maro,"" ""Commentary on Virgil and his works from late antiquity .. to the present,"" and ""Virgil's influence on subsequent literature."" The website contains a form through which one can register for ""Mantovano"" as well as sections on bibliography, vitae, Augustus, (Julius) Caesar, translations, links, books, maps, etc. Vergilian Bibliography 1998-",1999 81,,,0.85,publication_tail_year_fallback,"David Wilson-Okamura, ed. virgil.org. http://virgil.org The Perseus Project provides Vergil's Eclogues, Georgics, and Aeneid in English and Latin and the Aeneid commentaries of Servius (Latin only) and Conington-Nettleship-Haverfield. Latin texts can be displayed without links to the Morpheus forms analyser, and in the case of the epic, to the commentaries as well, English texts with links to the Perseus look-up tool. The Vergil Project is officially under construction until Fall 2000, but it is functional already. It offers (1) on-line tools for disambiguation of grammar, analysis of syntax, translation, and entry of discursive commentary for individual words, phrases, or longer sections of text. Access to these tools is available upon request to qualified collaborators working individually or in groups; (2) Text and Commentary. The site currently offers a Latin text of the Aeneid based on the editions of Mynors and Geymonat, grammatical and syntactical analysis, and glossary of Aeneid 1-2; and a concordance. By December 1999 these resources will have been supplemented with grammatical and syntactical analysis and glossary of Aeneid 4 and 6, and discursive commentary on books 1, 2, 4, and 6. Virgil.org maintains a web site devoted to Vergil and Vergiliana. It is the home of ""Mantovano"", a threaded discussion list devoted to ""the works attributed to Publius Vergilius Maro,"" ""Commentary on Virgil and his works from late antiquity .. to the present,"" and ""Virgil's influence on subsequent literature."" The website contains a form through which one can register for ""Mantovano"" as well as sections on bibliography, vitae, Augustus, (Julius) Caesar, translations, links, books, maps, etc. Vergilian Bibliography 1998-1999 81","David Wilson-Okamura, ed. virgil.org. http://virgil.org
The Perseus Project provides Vergil's Eclogues, Georgics, and
Aeneid in English and Latin and the Aeneid commentaries of Servius
(Latin only) and Conington-Nettleship-Haverfield. Latin texts can be
displayed without links to the Morpheus forms analyser, and in the
case of the epic, to the commentaries as well, English texts with links
to the Perseus look-up tool. The Vergil Project is officially under
construction until Fall 2000, but it is functional already. It offers (1)
on-line tools for disambiguation of grammar, analysis of syntax,
translation, and entry of discursive commentary for individual
words, phrases, or longer sections of text. Access to these tools is
available upon request to qualified collaborators working individually
or in groups; (2) Text and Commentary. The site currently offers a
Latin text of the Aeneid based on the editions of Mynors and
Geymonat, grammatical and syntactical analysis, and glossary of
Aeneid 1-2; and a concordance. By December 1999 these resources
will have been supplemented with grammatical and syntactical
analysis and glossary of Aeneid 4 and 6, and discursive commentary
on books 1, 2, 4, and 6. Virgil.org maintains a web site devoted to
Vergil and Vergiliana. It is the home of ""Mantovano"", a threaded
discussion list devoted to ""the works attributed to Publius Vergilius
Maro,"" ""Commentary on Virgil and his works from late antiquity ..
to the present,"" and ""Virgil's influence on subsequent literature.""
The website contains a form through which one can register for
""Mantovano"" as well as sections on bibliography, vitae, Augustus,
(Julius) Caesar, translations, links, books, maps, etc.
Vergilian Bibliography 1998-1999 81"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,APPENDIX VERGI LIANA,32,journal_article,Carmela Laudani,1998,Intorno a due passi del Moretum,BStudLat 28 (1998) 415-420,,,1.0,,"Carmela Laudani. ""Intorno a due passi del Moretum ."" BStudLat 28 (1998) 415-420.","Carmela Laudani. ""Intorno a due passi del Moretum .""
BStudLat 28 (1998) 415-420."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,APPENDIX VERGI LIANA,33,journal_article,M. Marincic,1998,"Der 'orphische' Bologna-Papyrus (Pap.Bon. 4), die Unterwelts beschreibung im Culex and die lukrezische Allegorie des Hades",ZPE 122 (1998) 55-59,,,1.0,,"M. Marincic. ""Der 'orphische' Bologna-Papyrus (Pap.Bon. 4), die Unterwelts beschreibung im Culex and die lukrezische Allegorie des Hades."" ZPE 122 (1998) 55-59.","M. Marincic. ""Der 'orphische' Bologna-Papyrus (Pap.Bon.
4), die Unterwelts beschreibung im Culex and die lukrezische
Allegorie des Hades."" ZPE 122 (1998) 55-59."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,APPENDIX VERGI LIANA,34,monograph,Franco Munari,1998,Studi sulla 'Ciris',Trento 1998,,,1.0,,Franco Munari. Studi sulla 'Ciris'. Trento 1998.,Franco Munari. Studi sulla 'Ciris'. Trento 1998.
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,APPENDIX VERGI LIANA,35,journal_article,H. Paoletta,1998,Tandem solutum est aenigma de Appendicis Vergilianae catalepto 2,Vox Latina 34 (1998) 169-187,,,1.0,,"H. Paoletta. ""Tandem solutum est aenigma de Appendicis Vergilianae catalepto 2,"" Vox Latina 34 (1998) 169-187.","H. Paoletta. ""Tandem solutum est aenigma de Appendicis
Vergilianae catalepto 2,"" Vox Latina 34 (1998) 169-187."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,APPENDIX VERGI LIANA,36,edited_volume,A. Salvatore | A. De Vivo | L. Nicastri | I. Polara,1997,Appendix Vergiliana,Roma 1997,,"Lassandro, BStudLat 28 (1998) 553-555",1.0,,"A. Salvatore, A. De Vivo, L. Nicastri, and I. Polara, eds. Appendix Vergiliana. Roma 1997. Rev: Lassandro, BStudLat 28 (1998) 553-555.","A. Salvatore, A. De Vivo, L. Nicastri, and I. Polara, eds.
Appendix Vergiliana. Roma 1997. Rev: Lassandro, BStudLat
28 (1998) 553-555."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,APPENDIX VERGI LIANA,37,journal_article,V. Stroh,1998,Vergili de Moreto suo oratiuncula,Vox Latina 34 (1998) 246-247,,,1.0,,"V. Stroh. ""Vergili de Moreto suo oratiuncula."" Vox Latina 34 (1998) 246-247.","V. Stroh. ""Vergili de Moreto suo oratiuncula."" Vox Latina 34
(1998) 246-247."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,APPENDIX VERGI LIANA,38,journal_article,J. C. Yardley,1998,"Justin, Trogus, and the Aetna","Phoenix 52 (1998) 103-108. Munari's monograph is a reprint of the 1944 original, edited by A. Cavazere, and with an introduction by S. Timpanaro (ix-xxxviii). Paoletta argues for Anser as author, post 38 BCE. Yardley examines echoes of Vergil in Justin's Epitome of (Pompeius) Trogus and suggests that the epitomator is likely responsible for them",,,1.0,,"J. C. Yardley. ""Justin, Trogus, and the Aetna,"" Phoenix 52 (1998) 103-108. Munari's monograph is a reprint of the 1944 original, edited by A. Cavazere, and with an introduction by S. Timpanaro (ix-xxxviii). Paoletta argues for Anser as author, post 38 BCE. Yardley examines echoes of Vergil in Justin's Epitome of (Pompeius) Trogus and suggests that the epitomator is likely responsible for them.","J. C. Yardley. ""Justin, Trogus, and the Aetna,"" Phoenix 52
(1998) 103-108.
Munari's monograph is a reprint of the 1944 original, edited by A.
Cavazere, and with an introduction by S. Timpanaro (ix-xxxviii).
Paoletta argues for Anser as author, post 38 BCE. Yardley examines
echoes of Vergil in Justin's Epitome of (Pompeius) Trogus and
suggests that the epitomator is likely responsible for them."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,ECLOGUES: GENERAL,39,monograph,Paul Alpers,1996,What is Pastoral ? Chicago,1996,,"Cheney, CompLit 50 (1998) 176-177; Gutzwiller, CW 91 (1998) 444",0.85,publication_tail_year_fallback,"Paul Alpers. What is Pastoral ? Chicago 1996. Rev: Cheney, CompLit 50 (1998) 176-177; Gutzwiller, CW 91 (1998) 444.","Paul Alpers. What is Pastoral ? Chicago 1996. Rev: Cheney,
CompLit 50 (1998) 176-177; Gutzwiller, CW 91 (1998) 444."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,ECLOGUES: GENERAL,40,monograph,"René Leclercq, Le divin loisir: Essai sur les Bucoliques de Virgile",1996,Bruxelles,1996,,"Van Sickle, Vergilius 44 (1998) 113-115; Cupaiuolo, BStudLat 28 (1998) 225-226",0.85,publication_tail_year_fallback,"René Leclercq, Le divin loisir: Essai sur les Bucoliques de Virgile. Bruxelles 1996. Rev: Van Sickle, Vergilius 44 (1998) 113-115; Cupaiuolo, BStudLat 28 (1998) 225-226.","René Leclercq, Le divin loisir: Essai sur les Bucoliques de
Virgile. Bruxelles 1996. Rev: Van Sickle, Vergilius 44 (1998)
113-115; Cupaiuolo, BStudLat 28 (1998) 225-226."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,ECLOGUES: GENERAL,41,journal_article,Karoline Szatek,1998,Engendering Spaces: A Study of Sexuality in Pastoral Borderlands,CML 18 (1998) 345-359,,,1.0,,"Karoline Szatek. ""Engendering Spaces: A Study of Sexuality in Pastoral Borderlands."" CML 18 (1998) 345-359.","Karoline Szatek. ""Engendering Spaces: A Study of Sexuality in
Pastoral Borderlands."" CML 18 (1998) 345-359."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,6,6,ECLOGUES: INDIVIDUAL,42,journal_article,S. L. Harrison,1998,"'The lark ascending: Corydon, Corydon (Vergil, Eel. 7,70)."" CQ 48 (",1998) 310-311,,,0.85,publication_tail_year_fallback,"S. L. Harrison. 'The lark ascending: Corydon, Corydon (Vergil, Eel. 7,70)."" CQ 48 (1998) 310-311.","S. L. Harrison. 'The lark ascending: Corydon, Corydon (Vergil,
Eel. 7,70)."" CQ 48 (1998) 310-311."
